32°F;0°C
50°F;10°C
60°F;15.5°C
70°F;21°C
80°F;26.6°C
Black ice;Verglas
Blow;Souffler
Breeze;Brise
Bright;Ensoleillé
Chill;Refroidissement
Cloudy;Nuageux
Damp;Humide
Drought;Sécheresse
Dull;Maussade
Earthquake;Tremblement de terre
Flood;Inondation
Fog;Brouillard
Freeze;Geler
Frost;Gelée
Gale;Coup de vent
Gust;Rafale
Hail;Grêle
Hazard;Danger
Haze;Brume légère
Heat;Chaleur
Heat wave;Vague de chaleur, canicule
Icy;Verglacé
Lightning;Foudre
Lower seventies;Environ 21°C
Lull;Accalmie
Melt;Fondre
Mid sixties;Environ 15°C
Mild;Doux
Mist;Brume
Outdoors;Dehors
Overcast;Couvert
Pour;Couler, ruisseler
Rainfall;Précipitation
Ray;Rayon
Shine;Briller
Shower;Averse
Sleet;Grésil
Snowbound;Bloqué par la neige
Spell;Période
Storm;Tempête
Swelling;Crue
Thaw;Dégeler
Thunderstorm;Orage
Upper eighties;Environ 32°C
Wet;Mouillé 
