Agenda;Ordre du jour
Assignment ;Travail à accomplir, mission/tâche
Attached;Joint
Bid;Offre
Binder;Classeur
Board;Conseil
Bold;En gras
Booklet;Fascicule
Briefcase;Porte-document
Cancel;Annuler
Carry out;Effectuer
Cartridge;Cartouche
CEO;PDG
Chart;Graphique
Commercial;Spot publicitaire
Competitor;Concurrent
Complete;Achever
Corporate;D'entreprise
Data;Données
Data processing;Traitement de données
Deadline;Date limite
Delete;Effacer
Department;Service
Desk;Bureau
Dial;Composer (n°)
Directory;Annuaire 
Dismiss;Renvoyer
Draft;Brouillon
Drawer;Tiroir
Earnings;Gains
Entitled to;Ayant droit à
Executive;Cadre
Expenditures;Dépenses
Extension;Poste téléphonique
Fan;Ventilateur
Feasible;Faisable
File;Classeur/classer
Flyer;Prospectus
Folder;Chemise
Font;Police d’écriture
Form;Formulaire
Forward;Transmettre
Glue;Colle
Guidelines ;Instructions
Handling;Manutention
Head;Chef
Incentive;Motivation, prime
Income;Revenu
Inquiry;Enquête, demande de renseignements
Intern;Stagiaire
Internship;Stage
IT;Informatique
Jam;Bourrage de papier
Key;Touche 
Keyboard;Clavier
Laptop;Ordinateur portable
Launch;Lancement/lancer
Layout;Présentation d’un document
Leave;Congé
Load ;Chargement/ charger
Margin;Marge
Marketplace;Part de marché
Mixed up;Mélangé
Monitor;Moniteur
Mouse pad;Tapis de souris
Name tag;Badge nominatif
Network;Réseau
Notepad;Bloc-notes
Notice ;Préavis
Overdue;En retard
Overnight mail;Courrier qui arrive le lendemain
Pad of paper;Bloc de papier
Parent company;Société-mère
Pick up;Ramasser, aller chercher
Position;Poste (occupé par salarié)
Postpone;Retarder
Printer;Imprimante
Process;Traiter
Purchase;Acheter
Raise;Augmentation/Augmenter
Receiver;Combiné téléphonique
Record;Archive
Resign;Démissionner
Retire;Prendre sa retraite
Scheme;Système
Screen;Ecran
Sheet;Feuille
Shipment;Envoi, expédition
Skill;Qualification, compétence
Slide;Diapositive
Software;Logiciel
Sort;Trier
Spreadsheet;Tableur
Staff;Personnel
Staple;Agrafe
Stationery;Fournitures de bureau
Store;Stocker
Supplies;Fournitures
Supply room;Réserves (de fournitures)
Survey;Sondage
Switchboard;Panneau, Clavier
Take on;Embaucher
Takeover bid;OPA
Task ;Tâche
Temp;Intérimaire
Trainee;Stagiaire
Training;Formation
Transfer;Mutation/muter
Trash;Ordures
Trend;Tendance
Trial order;Commande d’essai
Triplicate;En trois exemplaires
Turnover;Chiffre d’affaires
Type;Taper, dactylographier
Typing error;Faute de frappe
Update;Mettre à jour
Vacancy;Poste à pourvoir
Vacant;Libre, à pourvoir
Vacation;Vacances
Wage;Salaire
Word processing;Traitement de texte
Wrap;Emballer
